Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
org.ohmage.dao.ClassDaos,Public Class,8.0,8.0,8.0,1.0,69.0,5.0,45.0,19.0,1.0,19.0,19.0,0.0,,6.0,13.0,,,,1.0,0.0,7.0,7.0,0.0,1.0,0.0,6.0,,714,63,458,73,326,193,,,,136,209,70,156,,,,,,38.0,38.0,40.0,1.0,,2.0,9,,0.0,0.0,0.42,56,56,58,7
org.ohmage.dao.ClassDaos.ClassInformationAndUserRole,Private Static Final Class,1.0,1.0,1.0,1.0,12.0,0.0,4.0,8.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,,23,1,8,4,2,14,,,,4,6,4,2,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,1.75,1,1,1,1
org.ohmage.dao.ClassDaos.UserAndClassRole,Public Static Final Class,1.0,1.0,1.0,1.0,9.0,0.0,3.0,5.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,3.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,,39,3,14,6,4,22,,,,6,10,6,4,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,33.0,33.0,1.57,3,3,3,3
org.ohmage.dao.ClassDaos.getClassesInformation.(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,11.0,0.0,11.0,0.0,1.0,5.0,5.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,13,0,13,2,11,0,,,,2,3,2,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
org.ohmage.dao.ClassDaos.getUserRolePairs.(Anon_2),Anonymous Class,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1
