Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
org.vafer.jdeb.Processor,Public Class,3.0,3.0,4.0,1.0,49.0,8.0,31.0,10.0,1.0,43.0,43.0,0.0,,1.0,2.0,,,,9.0,2.0,10.0,10.0,1.0,6.0,0.0,3.0,,538,102,326,65,255,111,,,,188,247,74,215,,,,,,9.0,9.0,13.0,3.0,,1.0,3,,60.0,55.0,0.34,37,37,44,14
org.vafer.jdeb.Processor.Total,Private Static Final Class,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,,0.0,0.0,,,,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,,11,2,9,4,3,0,,,,3,6,4,3,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,2,2,2,2
org.vafer.jdeb.Processor.buildData.(Anon_1),Anonymous Class,2.0,2.0,2.0,1.0,26.0,4.0,16.0,5.0,1.0,9.0,9.0,0.0,,0.0,0.0,,,,6.0,0.0,6.0,6.0,0.0,3.0,0.0,3.0,,162,29,99,8,87,35,,,,56,69,14,60,,,,,,4.0,4.0,4.0,1.0,,2.0,1,,0.0,0.0,0.35,14,14,14,6
org.vafer.jdeb.ant.DebAntTask,Public Class,2.0,2.0,2.0,1.0,10.0,2.0,8.0,0.0,1.0,20.0,20.0,0.0,,0.0,0.0,,,,16.0,11.0,16.0,16.0,0.0,2.0,0.0,14.0,,252,61,150,37,84,41,,,,67,107,38,75,,,,,,16.0,16.0,20.0,3.0,,2.0,3,,84.0,82.0,0.27,38,38,45,20
org.vafer.jdeb.maven.DebMojo,Public Class,2.0,2.0,3.0,1.0,20.0,2.0,14.0,3.0,1.0,24.0,24.0,0.0,,0.0,0.0,,,,8.0,21.0,8.0,8.0,0.0,3.0,2.0,3.0,,379,52,141,46,90,186,,,,79,105,49,72,,,,,,12.0,12.0,14.0,1.0,,2.0,2,,84.0,80.0,1.32,22,22,25,8
org.vafer.jdeb.maven.DebMojo.execute.(Anon_1),Anonymous Class,2.0,2.0,2.0,1.0,14.0,0.0,14.0,0.0,1.0,6.0,6.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,15,0,15,0,13,0,,,,2,4,1,3,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,0.0,0.0,0.0,2,2,2,1
