Name,Kind,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
org.xtest.services.XTestGrammarAccess.XFeatureCallElements,Public Class,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,9.0,9.0,0.0,,0.0,0.0,,,,41.0,41.0,41.0,41.0,0.0,0.0,0.0,41.0,,190,41,84,83,82,65,,,,82,124,83,82,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,97.0,97.0,0.77,41,41,41,41
org.xtest.services.XTestGrammarAccess.XPrimaryExpressionElements,Public Class,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,17.0,17.0,17.0,17.0,0.0,0.0,0.0,17.0,,92,17,36,35,34,39,,,,34,52,35,34,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,94.0,94.0,1.08,17,17,17,17
org.xtest.services.XTestGrammarAccess.XTestExpressionElements,Public Class,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,8.0,8.0,0.0,,0.0,0.0,,,,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,,44,10,22,21,20,12,,,,20,31,21,20,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,90.0,90.0,0.55,10,10,10,10
org.xtest.test.XTestRegressionTests,Public Class,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,26.0,26.0,0.0,,6.0,5.0,,,,1.0,0.0,7.0,7.0,0.0,0.0,6.0,1.0,,75,7,62,35,38,6,,,,28,41,26,30,,,,,,3.0,3.0,3.0,1.0,,1.0,2,,82.0,80.0,0.1,11,11,11,7
org.xtest.test.XTestRunnerUnitTests,Public Class,1.0,1.0,1.0,1.0,10.0,0.0,9.0,0.0,1.0,6.0,6.0,0.0,,0.0,1.0,,,,38.0,0.0,38.0,38.0,0.0,0.0,2.0,36.0,,451,65,380,135,266,6,,,,244,283,87,243,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,31.0,0.0,0.02,38,38,38,38
org.xtest.types.XTestTypeProvider,Public Class,3.0,3.0,4.0,1.0,15.0,0.0,15.0,0.0,1.0,11.0,11.0,0.0,,0.0,0.0,,,,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,,45,2,37,16,19,6,,,,13,20,8,13,,,,,,3.0,3.0,5.0,1.0,,2.0,1,,50.0,50.0,0.16,6,6,9,2
org.xtest.ui.contentassist.AbstractXTestProposalProvider,Public Class,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,7.0,7.0,1.0,,0.0,0.0,,,,23.0,0.0,23.0,23.0,0.0,0.0,0.0,23.0,,79,2,63,25,14,14,,,,14,38,24,14,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.22,23,23,23,23
org.xtest.ui.contentassist.XTestProposalProvider,Public Class,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,11.0,11.0,0.0,,0.0,0.0,,,,2.0,0.0,2.0,25.0,0.0,0.0,1.0,1.0,,20,2,14,7,4,4,,,,2,5,3,2,,,,,,1.0,1.0,2.0,1.0,,3.0,0,,0.0,0.0,0.29,2,2,3,2
org.xtest.ui.contentassist.antlr.XTestParser,Public Class,1.0,1.0,1.0,1.0,58.0,0.0,58.0,0.0,1.0,11.0,11.0,0.0,,0.0,0.0,,,,6.0,2.0,6.0,6.0,0.0,0.0,4.0,2.0,,361,8,353,16,328,0,,,,326,335,12,324,,,,,,2.0,2.0,2.0,1.0,,2.0,1,,66.0,66.0,0.0,8,8,8,6
org.xtest.ui.contentassist.antlr.XTestParser.getRuleName.(Anon_1),Anonymous Class,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,0.0,,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,315,0,315,0,313,0,,,,312,312,1,311,,,,,,0.0,0.0,0.0,0.0,,2.0,0,,0.0,0.0,0.0,0,0,0,0
org.xtest.ui.highlight.XtestHighlightingCalculator,Public Class,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,9.0,9.0,0.0,,0.0,0.0,,,,3.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,,32,2,24,11,9,6,,,,6,12,6,8,,,,,,3.0,3.0,3.0,1.0,,2.0,2,,0.0,0.0,0.25,5,5,5,3
org.xtest.validation.AbstractXTestJavaValidator,Public Class,1.0,1.0,1.0,1.0,9.0,0.0,9.0,3.0,1.0,5.0,5.0,1.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,,13,2,11,4,6,3,,,,6,8,3,6,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.27,1,1,1,1
org.xtest.xTest.impl.BodyImpl,Public Class,2.0,1.0,2.0,1.0,15.0,0.0,10.0,5.0,2.0,11.0,11.0,0.0,,0.0,0.0,,,,9.0,2.0,9.0,9.0,0.0,0.0,2.0,7.0,,189,12,97,19,44,81,,,,29,46,12,34,,,,,,3.0,2.0,5.0,1.0,,2.0,1,,77.0,33.0,0.84,21,16,23,9
org.xtest.xTest.impl.XTestFactoryImpl,Public Class,1.0,1.0,1.0,1.0,12.0,0.0,6.0,5.0,2.0,16.0,16.0,0.0,,2.0,0.0,,,,9.0,0.0,11.0,11.0,0.0,0.0,0.0,11.0,,158,12,77,21,31,71,,,,26,41,19,29,,,,,,7.0,3.0,7.0,3.0,,2.0,2,,0.0,0.0,0.92,19,14,19,13
org.xtest.xTest.impl.XTestPackageImpl,Public Class,1.0,1.0,1.0,1.0,13.0,1.0,6.0,6.0,2.0,8.0,8.0,0.0,,1.0,1.0,,,,24.0,8.0,25.0,25.0,0.0,1.0,0.0,24.0,,448,61,171,38,93,217,,,,93,122,38,87,,,,,,3.0,3.0,3.0,1.0,,2.0,1,,84.0,80.0,1.27,29,29,29,25
org.xtest.xTest.util.XTestAdapterFactory,Public Class,1.0,1.0,1.0,1.0,14.0,0.0,5.0,9.0,1.0,6.0,6.0,0.0,,0.0,1.0,,,,12.0,1.0,12.0,12.0,0.0,0.0,0.0,12.0,,265,16,114,18,45,136,,,,25,50,24,27,,,,,,3.0,3.0,3.0,3.0,,2.0,1,,87.0,87.0,1.19,15,15,15,14
org.xtest.xTest.util.XTestAdapterFactory.(Anon_1),Anonymous Class,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,7.0,7.0,0.0,,0.0,0.0,,,,9.0,0.0,9.0,21.0,0.0,0.0,0.0,9.0,,46,0,46,0,27,0,,,,9,18,9,9,,,,,,1.0,1.0,1.0,1.0,,3.0,0,,0.0,0.0,0.0,9,9,9,9
org.xtest.xTest.util.XTestSwitch,Public Generic Class,2.0,2.0,2.0,1.0,18.0,0.0,8.0,10.0,1.0,7.0,7.0,1.0,,0.0,1.0,,,,12.0,0.0,12.0,12.0,0.0,0.0,2.0,10.0,,265,14,107,29,48,145,,,,41,66,26,46,,,,,,17.0,12.0,17.0,1.0,,2.0,2,,83.0,83.0,1.36,29,24,29,12
